F[Kn];delta_u 1+2
8.538264;0
33.5296;-3.206E-06
57.20565;0.000553174
81.86825;0.000734722
112.7785;0.002025574
145.9905;0.002124913
184.1355;0.001807246
230.172;0.001955044
280.484;0.002426044
337.3725;0.003581845
399.5215;0.004492917
470.55;0.006290944
544.209;0.007035584
621.8135;0.006696094
702.0495;0.007647114
785.9015;0.009212314
871.7275;0.009807654
959.526;0.011087104
1051.27;0.012013894
1142.36;0.013318419
1237.39;0.014308424
1331.765;0.014936434
1428.775;0.016404349
1525.78;0.017929134
1621.8;0.018883894
1721.765;0.020858434
1821.07;0.022137234
1923.01;0.023686624
2022.975;0.024942164
2122.61;0.026720294
2222.575;0.028310004
2324.515;0.029446964
2427.44;0.030942954
2526.75;0.033190454
2627.37;0.036232284
2724.38;0.036300894
2819.74;0.038571664
2916.09;0.040773864
3004.215;0.041697344
3091.685;0.044464944
3177.84;0.046856124
3260.38;0.048112684
3339.96;0.050959504
3417.89;0.052734894
3491.545;0.055822744
3562.25;0.058666784
3629.66;0.061563534
3694.44;0.064227294
3754.945;0.067085094
3813.15;0.069816074
3870.695;0.073079254
3925.94;0.076267154
3974.94;0.080030961
4026.235;0.083388934
4074.9;0.088160874
4122.255;0.091330304
4169.275;0.094008204
4212.685;0.098140164
4254.77;0.102499004
4296.865;0.107139134
4338.955;0.110375194
4378.415;0.114637604
4419.195;0.118054114
4454.375;0.122454914
4491.865;0.125862034
4528.36;0.130760004
4562.895;0.134243504
4597.42;0.138823104
4632.93;0.142806804
4668.445;0.146618104
4700.015;0.150759904
4729.61;0.156500504
4764.14;0.160265104
4793.735;0.164921904
4823.985;0.167545704
4856.865;0.172628604
4885.475;0.177603604
4915.73;0.182260904
4945.33;0.186861204
4974.92;0.190799504
5003.86;0.195630104
5032.465;0.199594004
5058.445;0.205034304
5086.725;0.209191904
5112.705;0.213933304
5139.34;0.218790304
5166.96;0.224074404
5194.585;0.228735604
5219.905;0.232736304
5247.525;0.238716404
5269.56;0.243499104
5295.865;0.249134204
5321.185;0.253964204
5345.85;0.258419804
5367.875;0.263535104
5393.53;0.268613904
5415.56;0.273634004
5442.52;0.278810404
5462.91;0.284306704
5486.255;0.289421604
5510.925;0.294433104
5531.965;0.300651504
5553.015;0.305244604
5576.03;0.310357804
5597.735;0.316059404
5617.465;0.320773504
5638.51;0.326594704
5659.23;0.331760904
5677.645;0.336724304
5700.66;0.342117004
5719.73;0.347686104
5739.135;0.353070004
5758.535;0.358414504
5776.62;0.364404404
5797.335;0.370038404
5817.725;0.374610604
5834.495;0.381094604
5853.24;0.386150204
5869.355;0.391033504
5887.765;0.397401704
5904.87;0.403556904
5922.625;0.408430904
5940.71;0.414058104
5956.495;0.420131204
5973.265;0.424869304
5989.38;0.430354804
6005.16;0.435803704
6021.935;0.441303704
6039.36;0.446917504
6053.5;0.452455704
6066;0.458052104
6080.465;0.463906504
6096.575;0.468959704
6112.69;0.474375504
6128.8;0.480718204
6141.955;0.485594904
6155.77;0.491434604
6169.25;0.497146104
6184.045;0.501403404
6196.215;0.508111104
6210.685;0.513896904
6222.19;0.518995504
6235.015;0.524313804
6247.84;0.530416504
6262.31;0.535630904
6271.85;0.541326304
6287.63;0.547281404
6297.82;0.552856604
6309.335;0.559488804
6321.17;0.564077504
6334;0.570061904
6346.495;0.575877104
6358.33;0.581283404
6367.865;0.587188804
6378.06;0.592809904
6389.24;0.598188404
6397.135;0.603130704
6409.625;0.608662604
6420.15;0.614171804
6430.015;0.619557304
6439.22;0.624568204
6447.445;0.630312204
6456.98;0.635758204
6465.53;0.640866204
6476.38;0.646477204
6485.26;0.651327204
6493.48;0.656021204
6498.745;0.661611204
6510.58;0.666932204
6518.47;0.673206204
6526.69;0.678258204
6533.6;0.684000204
6542.81;0.689467204
6550.04;0.694334204
6556.285;0.699219204
6563.52;0.704855204
6572.73;0.708876204
6580.95;0.715210204
6585.555;0.720641204
6530.64;0.721998204
6602.325;0.725350204
6529.325;0.726109204
6605.285;0.728658204
6552.015;0.730114204
6529.65;0.730865204
6609.555;0.733063204
6584.57;0.734267204
6601.34;0.734614204
6638.495;0.737488204
6572.405;0.739418204
6528.335;0.758017204
6612.19;0.761262204
6585.88;0.775855204
6557.275;0.789872204
6632.58;0.796545204
6629.29;0.810556204
6664.805;0.818831204
6669.41;0.831131204
6445.47;0.835076204
6553.33;0.836667204
