F[N];delta_u 1+2
17.41674;0
42.40815;-0.000153328
69.3725;0.000904237
98.31005;0.000797907
130.8645;0.001377387
165.0635;0.001995327
200.906;0.000917517
241.3525;0.00196448
284.7585;0.003362917
334.4125;0.003528477
386.0395;0.004858307
444.901;0.004522277
511.6545;0.005579487
580.3805;0.006387587
661.931;0.006956967
742.8245;0.0080981
827.3345;0.009294127
911.845;0.010293057
999.9705;0.011372297
1088.43;0.01227284
1180.505;0.013190117
1276.85;0.014263588
1370.24;0.015677327
1469.545;0.016832047
1567.215;0.018182881
1664.545;0.018868187
1765.17;0.019808141
1864.805;0.021009757
1966.09;0.022890837
2066.71;0.023592187
2169.965;0.024840987
2273.545;0.025829507
2373.84;0.027535037
2475.45;0.027815657
2577.72;0.029589437
2678.015;0.031330147
2776.995;0.032317726
2877.94;0.033688167
2971.66;0.034717642
3068.01;0.03629198
3160.41;0.037216517
3253.145;0.038560027
3342.915;0.040042937
3432.69;0.041178207
3523.445;0.042740797
3610.92;0.044455887
3696.41;0.045816677
3779.94;0.048011897
3860.83;0.049023567
3942.71;0.050923567
4017.025;0.052164804
4091.015;0.054713727
4165.005;0.057248007
4231.425;0.058971081
4299.495;0.061841657
4365.59;0.065434817
4428.4;0.067749117
4486.275;0.070899337
4543.16;0.074146651
4600.05;0.077338227
4652.995;0.080856155
4707.25;0.084527197
4754.6;0.088163457
4802.61;0.091741847
4848.98;0.095393407
4894.36;0.098934647
4941.71;0.103850217
4987.75;0.107617467
5027.865;0.111918415
5072.255;0.116101517
5113.03;0.120140457
5155.45;0.124637997
5194.58;0.129047947
5231.745;0.133649404
5271.53;0.137852733
5308.03;0.142357105
5342.89;0.146574147
5381.69;0.151424657
5418.52;0.155896132
5453.38;0.161058377
5489.88;0.165917837
5525.39;0.170687478
5558.93;0.174890387
5590.83;0.180510813
5623.71;0.185309537
5656.925;0.189709838
5687.835;0.194366077
5723.345;0.199516999
5752.285;0.203706937
5785.83;0.210388077
5816.41;0.214972597
5844.69;0.220287437
5878.23;0.225579597
5906.51;0.230722107
5935.12;0.236360857
5965.045;0.241553677
5993.32;0.246530345
6023.905;0.252404777
6051.855;0.258585927
6081.12;0.263610987
6106.775;0.268665821
6134.065;0.273997417
6160.045;0.280491071
6186.35;0.285507422
6211.34;0.291017077
6239.95;0.296825657
6266.915;0.302658997
6289.605;0.308101837
6316.24;0.314105047
6340.9;0.320107957
6365.565;0.325616167
6389.9;0.331568557
6411.93;0.337055337
6435.28;0.343219727
6460.93;0.348856627
6482.96;0.354727547
6507.62;0.360702257
6528.995;0.366725037
6550.37;0.372351687
6574.045;0.378416477
6592.79;0.384808717
6616.465;0.390665817
6638.165;0.396539897
6657.9;0.402386027
6680.255;0.408883797
6700.315;0.415023797
6723.01;0.421379297
6742.41;0.427265397
6760.825;0.433872697
6779.565;0.440537597
6799.625;0.445613897
6820.015;0.452424647
6836.785;0.459726597
6854.87;0.465643797
6874.6;0.471905997
6894.33;0.478216397
6910.445;0.485142297
6931.16;0.491165397
6949.245;0.497598197
6964.7;0.504227297
6983.115;0.510428497
7000.215;0.517431797
7016.66;0.524452497
7031.785;0.530028397
7047.24;0.537004097
7065.98;0.543228597
7082.75;0.550734597
7099.525;0.557400397
7115.305;0.563624497
7129.78;0.570712697
7145.56;0.577697397
7159.705;0.584431297
7173.84;0.591315997
7194.225;0.598380097
7203.105;0.605671297
7219.55;0.611965197
7233.69;0.618818197
7245.53;0.625593997
7261.64;0.632918297
7274.465;0.639716597
7284.99;0.646570397
7300.77;0.653581997
7308.995;0.660559997
7324.775;0.667106097
7336.94;0.673682597
7349.11;0.681417597
7364.895;0.688558097
7374.76;0.695259597
7384.95;0.702696597
7394.16;0.709676197
7409.615;0.716550397
7419.48;0.723649397
7430.66;0.731330297
7440.195;0.737103497
7452.695;0.745462597
7462.56;0.753663297
7473.08;0.760313397
7483.605;0.767677497
7493.14;0.774938297
7500.7;0.781984297
7512.215;0.789653197
7519.775;0.796964097
7531.945;0.804677297
7539.505;0.812001197
7550.025;0.819442397
7558.25;0.826647497
7566.14;0.835065497
7570.745;0.842592497
7579.625;0.850077697
7588.83;0.856584097
7598.37;0.864287597
7606.26;0.870968797
7611.19;0.878021997
7622.045;0.886273997
7625.33;0.894233797
7632.895;0.901466897
7639.14;0.911613497
7642.76;0.919659997
7653.285;0.928922597
7661.505;0.937558697
