F[Kn];delta_u 1+2
14.78607;0
35.83145;0.001078346
57.86335;0.001232377
84.4989;0.001587734
111.792;0.00150908
139.414;0.001884111
172.2975;0.001996579
205.5095;0.002659502
244.312;0.00330665
286.403;0.00381454
336.386;0.0051156
395.576;0.00551792
460.356;0.00568345
529.0825;0.00704649
603.07;0.00796107
681.3325;0.00862476
761.239;0.007832297
841.475;0.009558827
925.656;0.01144375
1015.1;0.01193861
1104.87;0.01299212
1196.285;0.01460178
1290.33;0.01485416
1386.685;0.01619342
1485.33;0.01677446
1581.68;0.01862316
1680.66;0.01951064
1778.65;0.02057636
1877.3;0.02189687
1977.27;0.02277075
2076.245;0.02371869
2172.595;0.02487617
2270.255;0.02626136
2364.96;0.02702337
2460.325;0.0283231
2555.025;0.02933096
2647.1;0.03046859
2739.83;0.03099984
2831.25;0.0331177
2921.025;0.03390543
3008.165;0.03495769
3092.015;0.03511729
3180.8;0.03676583
3266.625;0.0378156
3348.505;0.0385719
3432.36;0.04047933
3514.565;0.04130784
3597.435;0.04201235
3677.995;0.04429707
3757.245;0.04491637
3836.495;0.04644519
3914.43;0.04762017
3991.375;0.04958537
4068.325;0.05127277
4141.655;0.05276117
4214.325;0.05490497
4286.67;0.05632717
4356.055;0.05905457
4424.455;0.06090937
4490.88;0.06321677
4555.985;0.06570437
4618.795;0.06876387
4678.31;0.07148707
4737.505;0.07475767
4792.75;0.07816677
4847.005;0.08163217
4897.65;0.08410117
4948.29;0.08870307
5000.9;0.09246787
5047.265;0.09593437
5093.96;0.10006517
5141.97;0.10355377
5185.045;0.10782547
5231.085;0.11177267
5271.53;0.11641947
5317.235;0.12115887
5355.715;0.12408987
5396.82;0.12962197
5438.25;0.13445297
5476.725;0.13876037
5514.865;0.14315057
5554;0.14875197
5588.2;0.15234967
5625.685;0.15795307
5662.845;0.16256137
5700;0.16678297
5732.555;0.17200177
5769.055;0.17738597
5799.31;0.18168397
5834.82;0.18695037
5869.355;0.19156637
5901.25;0.19706837
5933.475;0.20236227
5963.725;0.20812707
5996.61;0.21242967
6027.19;0.21785847
6057.77;0.22316197
6087.695;0.22840917
6116.31;0.23387217
6146.56;0.23866257
6175.5;0.24513587
6204.435;0.25160417
6232.715;0.25508217
6260.665;0.26042627
6288.945;0.26670127
6314.265;0.27131247
6341.89;0.27735547
6367.205;0.28324857
6394.175;0.28920507
6420.15;0.29473717
6445.14;0.30035927
6470.79;0.30587977
6494.795;0.31083357
6521.1;0.31792237
6544.455;0.32362447
6570.755;0.32946337
6595.42;0.33588477
6619.755;0.34185137
6639.815;0.34800537
6662.505;0.35361107
6687.825;0.36003587
6710.18;0.36617317
6734.19;0.37247487
6754.575;0.37886307
6778.25;0.38507647
6796.67;0.39055567
6819.03;0.39686507
6840.07;0.40268377
6859.47;0.41004857
6878.22;0.41618907
6899.595;0.42261887
6921.295;0.42879707
6936.75;0.43611907
6959.44;0.44209107
6976.54;0.44857617
6993.965;0.45582127
7014.355;0.46152307
7031.455;0.46711867
7051.515;0.47457767
7067.625;0.48129277
7088.345;0.48722917
7102.485;0.49514767
7122.875;0.50115617
7139.645;0.50799787
7154.44;0.51449467
7169.235;0.52172457
7187.65;0.52844027
7201.13;0.53494537
7216.92;0.54229267
7235.005;0.54943657
7250.13;0.55640407
7263.61;0.56346747
7281.04;0.57062967
7296.495;0.57807727
7308.995;0.58474097
7323.465;0.59182137
7337.93;0.59858627
7350.425;0.60586107
7363.58;0.61304217
7377.39;0.62036517
7390.21;0.62710467
7402.71;0.63462547
7415.865;0.64143867
7424.08;0.64928467
7438.885;0.65656997
7450.72;0.66441347
7462.56;0.67143967
7472.425;0.67857447
7483.605;0.68594357
7495.44;0.69366257
7506.625;0.70123197
7516.16;0.70894087
7526.68;0.71680207
7535.56;0.72427627
7544.765;0.73182977
7555.29;0.73948357
7563.185;0.74722777
7573.045;0.75489887
7580.61;0.76305957
7589.49;0.77105057
7597.38;0.77862607
7608.56;0.78793967
7613.165;0.79669037
7618.1;0.80571337
7627.305;0.81541397
7631.25;0.82460797
7635.855;0.83472717
7634.54;0.84685647
