x;y;z
-0.5551;0.2096;0.4421
-0.5444;0.3247;0.5183
-0.3253;0.6313;0.7894
-0.3199;0.601;0.7852
-0.3114;0.5745;0.7597
-0.299;0.5989;0.7238
-0.2868;0.5814;0.6898
-0.2575;0.5623;0.6083
-0.1624;0.577;0.3402
-0.111;0.3474;0.295
-0.07255;0.3607;0.1761
-0.04817;0.3047;0.09085
-0.003127;0.3222;-0.0001076
-0.001283;0.402;-0.007316
-0.001143;0.5318;0.01412
0.05975;0.3239;-0.1525
0.09225;0.3577;-0.2324
0.1626;0.3187;-0.3882
0.1758;0.3838;-0.4337
0.3419;0.3464;-0.8766
0.3437;0.301;-0.862
0.4476;0.1478;-0.6617
