F1_a(N);Delta_u13_a(mm);F2_a(N);Delta_u24_a(mm);F1_b2(N);Delta_u13_b2(mm);F2_b2(N);Delta_u24_b2(mm)
5.90757;0;-123.653;0;0.646228;0;-163.771;0
28.2683;0.000467926;-134.176;-0.000470366;16.4303;0.00042937;-172.978;-0.00004316
60.494;0.00087361;-146.671;-0.000672248;36.1603;0.00102851;-182.843;-0.00010875
90.7467;0.00158375;-164.428;-0.00100154;55.8903;0.0011931;-193.366;-0.0010524
127.576;0.00197269;-180.87;-0.001645227;86.8007;0.00161707;-205.861;-0.00110236
165.063;0.00261795;-195.996;-0.001976177;117.053;0.00228563;-219.673;-0.00147884
195.974;0.00339514;-220.33;-0.00254846;153.883;0.0028161;-235.457;-0.00164548
242.01;0.00408609;-241.376;-0.003413582;189.397;0.00329698;-255.844;-0.00261317
285.416;0.00478796;-264.394;-0.00392549;229.515;0.00383006;-276.89;-0.00314478
341.318;0.00564874;-289.385;-0.00445841;274.894;0.004873811;-298.593;-0.0035783
393.274;0.00663334;-316.35;-0.00523045;321.588;0.005447054;-321.611;-0.00439826
456.41;0.00751754;-346.602;-0.0060589;377.49;0.00659318;-349.233;-0.00495814
523.492;0.00897984;-377.513;-0.00704287;430.761;0.00751817;-380.801;-0.00579377
594.52;0.01016764;-415.658;-0.00787883;492.582;0.00861504;-413.027;-0.00670842
667.522;0.01139404;-457.091;-0.00885139;560.979;0.00975328;-445.253;-0.00759175
741.838;0.01241714;-491.947;-0.01015356;632.665;0.01087118;-480.767;-0.00858515
831.281;0.01402494;-535.353;-0.01111425;714.216;0.01226284;-519.569;-0.00969319
920.724;0.01555374;-580.074;-0.01239214;799.055;0.01359808;-560.344;-0.01083749
1011.48;0.01711226;-625.454;-0.01359173;883.894;0.01499041;-603.093;-0.01199339
1110.13;0.01871288;-674.779;-0.01478715;973.337;0.01659464;-647.157;-0.01314041
1209.44;0.02043981;-725.419;-0.0161384;1056.86;0.01813672;-691.878;-0.01445882
1312.04;0.02226851;-773.429;-0.01752618;1151.57;0.0197225;-739.23;-0.01559397
1412.66;0.02397881;-825.385;-0.01882109;1254.16;0.02109901;-787.24;-0.01697897
1513.28;0.02586471;-873.394;-0.0202725;1350.18;0.02283077;-836.565;-0.01820343
1615.22;0.02751176;-924.035;-0.0216349;1444.23;0.02462497;-890.494;-0.0197456
1727.68;0.02921322;-978.621;-0.0229658;1546.17;0.02643697;-934.557;-0.0210951
1822.39;0.031007158;-1028.6;-0.0245007;1656;0.02810127;-987.171;-0.02247711
1929.59;0.032917905;-1086.48;-0.0259466;1755.3;0.02997707;-1039.78;-0.02388289
2044.68;0.03459313;-1137.78;-0.0275772;1864.48;0.03159527;-1092.4;-0.02538665
2147.93;0.03659648;-1189.73;-0.0291609;1968.39;0.03351457;-1143.7;-0.02691621
2259.74;0.03855003;-1243;-0.0307675;2072.3;0.03546747;-1196.97;-0.02828566
2363.65;0.0405614;-1298.91;-0.0321446;2178.19;0.03699697;-1250.24;-0.02987816
2467.56;0.04249718;-1353.49;-0.0338445;2281.44;0.03939437;-1302.85;-0.03146118
2575.42;0.04449125;-1405.45;-0.0354276;2386.67;0.04130147;-1359.41;-0.03326642
2685.91;0.04669295;-1463.32;-0.037497;2496.5;0.04329037;-1410.71;-0.03479977
2789.82;0.04882384;-1516.59;-0.0389631;2597.78;0.04527447;-1463.32;-0.03652029
2901.62;0.05081284;-1569.21;-0.0411057;2712.87;0.04746027;-1518.57;-0.038593372
3016.71;0.05359014;-1620.51;-0.0431844;2817.44;0.04970107;-1569.21;-0.04043938
3123.91;0.05593024;-1676.41;-0.0455964;2912.8;0.05200557;-1618.53;-0.04248047
3222.56;0.05901304;-1726.39;-0.0475538;3007.5;0.05426247;-1662.6;-0.04436007
3318.58;0.06197034;-1777.69;-0.0501879;3094.97;0.05674987;-1711.92;-0.04658386
3415.26;0.06507574;-1825.7;-0.0529455;3189.02;0.05923117;-1753.35;-0.04886979
3506.02;0.06834494;-1869.76;-0.055805;3271.89;0.06212487;-1799.39;-0.05135744
3599.41;0.07211254;-1918.43;-0.0589385;3353.44;0.06529577;-1836.22;-0.05403052
3678.98;0.07602824;-1957.89;-0.0622424;3434.33;0.06831757;-1880.28;-0.05674759
3754.62;0.08018134;-1996.69;-0.0659131;3515.88;0.07194537;-1919.09;-0.05947298
3828.93;0.08429124;-2034.18;-0.0695455;3594.15;0.07572057;-1959.2;-0.06347847
3896.67;0.08939874;-2061.14;-0.0735195;3669.78;0.08008597;-1999.98;-0.06703687
3963.1;0.09438904;-2099.29;-0.0781368;3748.04;0.08476197;-2035.49;-0.07113757
