F1_a(N);Delta_u13_a(mm);F2_a(N);Delta_u24_a(mm);F1_b(N);Delta_u13_b(mm);F2_b(N);Delta_u24_b(mm)
23.6646;0;-761.591;0;12.4842;0;-397.243;0
55.8903;0.00068723;-817.493;-0.00111454;24.9799;0.000580766;-421.577;-0.000274269
81.5394;0.00149967;-882.602;-0.00207753;35.5026;0.000837156;-457.091;-0.001054692
116.396;0.002622865;-947.053;-0.00325659;58.521;0.001422176;-499.181;-0.001384992
153.883;0.00336001;-1031.89;-0.00455522;81.5394;0.002110157;-548.506;-0.002444922
198.604;0.00470547;-1116.07;-0.00619257;114.423;0.002618646;-605.066;-0.003163482
245.956;0.00618519;-1206.83;-0.007573;140.729;0.003459886;-666.887;-0.004180842
298.57;0.00741553;-1318.64;-0.00946532;174.928;0.004298397;-729.365;-0.005255742
355.787;0.00899988;-1430.44;-0.01130285;219.65;0.005278096;-804.997;-0.006574992
414.319;0.01068886;-1550.13;-0.01299978;259.11;0.006430286;-885.89;-0.007911312
472.852;0.01234918;-1677.72;-0.01534298;299.227;0.007722088;-977.964;-0.009341312
545.195;0.01417572;-1813.86;-0.01739047;351.841;0.008693336;-1083.19;-0.010959842
620.827;0.01639361;-1966.44;-0.02006141;407.085;0.010377876;-1190.39;-0.012853182
701.063;0.01861656;-2129.54;-0.02287192;470.879;0.012253736;-1308.77;-0.014451472
785.244;0.02111631;-2299.22;-0.02584731;531.384;0.013711406;-1431.75;-0.016554862
873.372;0.02353731;-2475.47;-0.0288592;595.178;0.015417226;-1571.18;-0.018722862
963.472;0.02631471;-2656.99;-0.03210696;676.071;0.017444196;-1717.84;-0.021206532
1057.52;0.02923231;-2831.27;-0.03549126;747.099;0.019507356;-1877.65;-0.023767222
1149.59;0.03221691;-3012.79;-0.03917236;831.939;0.021652326;-2045.36;-0.026460522
1240.35;0.03544751;-3204.17;-0.04326716;924.012;0.023927696;-2220.3;-0.029231022
1336.37;0.03942551;-3392.92;-0.04788656;1010.82;0.026460596;-2402.47;-0.032311922
1426.47;0.04357131;-3577.07;-0.05316466;1107.5;0.029037996;-2587.28;-0.035629322
1515.26;0.04834041;-3746.75;-0.05911386;1194.97;0.032030696;-2772.74;-0.038887722
1592.86;0.05394891;-3914.45;-0.06591696;1287.7;0.034598896;-2960.83;-0.042779922
1677.7;0.06026611;-4063.74;-0.07396946;1387.01;0.038262596;-3146.95;-0.046990922
1746.1;0.06783821;-4206.46;-0.08336016;1478.43;0.041916396;-3338.33;-0.051805422
1808.58;0.07562801;-4330.1;-0.09318016;1568.53;0.046141796;-3516.56;-0.056913622
1862.5;0.08453861;-4441.24;-0.10440516;1658.63;0.050999096;-3693.47;-0.063122422
1913.14;0.09387921;-4549.76;-0.11610486;1736.89;0.056518396;-3857.89;-0.070087222
1961.81;0.10387601;-4649.07;-0.12869236;1820.41;0.062787596;-4006.52;-0.078130522
2007.19;0.11442301;-4745.09;-0.14144626;1886.18;0.070118896;-4154.5;-0.087232222
2049.94;0.12479551;-4830.58;-0.15431576;1951.29;0.078357496;-4272.88;-0.097335822
2093.35;0.13587161;-4908.85;-0.16775696;2009.16;0.087188896;-4384.68;-0.108321122
2133.46;0.14661331;-4987.11;-0.18159056;2061.12;0.096649796;-4489.91;-0.119786022
2169.64;0.15808571;-5071.95;-0.19598266;2111.1;0.106694296;-4593.16;-0.131888822
2209.1;0.16955801;-5136.4;-0.21029666;2158.46;0.116897096;-4679.32;-0.144471022
2241.98;0.18115411;-5211.37;-0.22478976;2201.2;0.127396896;-4781.26;-0.157253122
2276.84;0.19295341;-5276.48;-0.23954376;2236.06;0.138281996;-4858.2;-0.170468022
2309.72;0.20465201;-5348.83;-0.25464976;2281.44;0.149438996;-4937.78;-0.184007322
2338;0.21674361;-5409.99;-0.27023876;2313.66;0.160770896;-5012.1;-0.197664322
2370.22;0.22882061;-5467.86;-0.28500776;2359.7;0.172277896;-5085.76;-0.211595922
2408.37;0.24107661;-5525.74;-0.30076076;2395.87;0.184003696;-5155.47;-0.225834922
2435.99;0.25380761;-5585.59;-0.31687276;2430.73;0.195663596;-5225.18;-0.239813922
2462.96;0.26611261;-5643.46;-0.33324276;2461.64;0.207809196;-5290.95;-0.254305922
2492.55;0.27893761;-5698.71;-0.35010776;2485.32;0.219680696;-5356.72;-0.269256922
2516.23;0.29151261;-5746.72;-0.36668076;2516.88;0.232108696;-5420.51;-0.284034922
2539.9;0.30445161;-5799.33;-0.38406676;2550.43;0.244430696;-5478.39;-0.299011922
2561.61;0.31705561;-5852.6;-0.40156476;2584.62;0.256922696;-5530.34;-0.314294922
2585.94;0.32989761;-5898.64;-0.41879976;2610.93;0.269803696;-5592.82;-0.329836922
2610.27;0.34251561;-5956.51;-0.43692476;2641.18;0.282608696;-5648.72;-0.345493922
2633.29;0.35510661;-5992.03;-0.45482176;2658.28;0.295627696;-5698.71;-0.361729922
2654.99;0.36778761;-6032.8;-0.47345376;2688.54;0.308337696;-5755.26;-0.377502922
2677.36;0.38065861;-6088.7;-0.49236876;2714.84;0.321585696;-5799.99;-0.393455922
2703;0.39295461;-6122.24;-0.51095976;2744.44;0.334637696;-5863.78;-0.410018922
2724.71;0.40558761;-6159.73;-0.53010476;2768.11;0.348038696;-5902.58;-0.426065922
2743.78;0.41761561;-6201.16;-0.55003976;2782.58;0.361310696;-5942.7;-0.442758922
2764.17;0.42978961;-6233.39;-0.57047176;2806.92;0.374692696;-5987.42;-0.459243922
2777.98;0.44174061;-6277.45;-0.59055376;2832.57;0.387972696;-6051.22;-0.475721922
2797.71;0.45390461;-6301.79;-0.61086276;2850.98;0.401585696;-6080.81;-0.492263922
2814.81;0.46595861;-6346.51;-0.63181576;2871.37;0.414645696;-6124.87;-0.509196922
2825.33;0.47708761;-6374.79;-0.65278776;2893.73;0.427896696;-6157.76;-0.526370922
2846.38;0.48936561;-6407.01;-0.67358576;2912.14;0.441334696;-6203.79;-0.543159922
2864.79;0.50113261;-6437.27;-0.69499176;2939.11;0.454772696;-6243.26;-0.560661922
2879.26;0.51257061;-6466.2;-0.71685776;2954.23;0.468597696;-6292.58;-0.578547922
2890.44;0.52434361;-6489.88;-0.73921076;2970.02;0.482046696;-6311.65;-0.596130922
2904.91;0.53602661;-6528.68;-0.76205776;2985.8;0.495395696;-6346.51;-0.613690922
2920.69;0.54746061;-6557.62;-0.78555876;3008.16;0.508820696;-6379.39;-0.631808922
2934.5;0.55855561;-6576.69;-0.80963476;3025.26;0.521936696;-6414.25;-0.650193922
2945.68;0.57002861;-6608.26;-0.83391376;3035.78;0.535511696;-6446.47;-0.668352922
2960.15;0.58104461;-6620.76;-0.85924376;3052.23;0.548813696;-6484.62;-0.687257922
2967.39;0.59217261;-6639.83;-0.88551976;3071.96;0.562208696;-6506.32;-0.706061922
2968.04;0.60294161;-6662.19;-0.91324276;3088.4;0.575771696;-6552.36;-0.724872922
2978.57;0.61345961;-6677.32;-0.94293376;3101.55;0.589111696;-6572.75;-0.743682922
2988.43;0.62402661;-6685.87;-0.97459576;3115.36;0.602507696;-6608.26;-0.762650922
2988.43;0.63437261;-6693.76;-1.00984776;3121.28;0.615778696;-6629.31;-0.781654922
2987.12;0.64501361;-6687.18;-1.05157876;3139.04;0.629034696;-6660.22;-0.800986922
2970.68;0.65521161;-6668.77;-1.10256876;3154.82;0.642622696;-6684.55;-0.819970922
2949.63;0.66513461;-6622.73;-1.16902976;3161.4;0.655517696;-6710.2;-0.839790922
2950.95;0.67402361;-6629.31;-1.22824076;3183.76;0.668908696;-6730.59;-0.859507922
2933.85;0.68426961;-6583.93;-1.31286476;3194.28;0.682399696;-6754.26;-0.880051922
;;;;3204.81;0.695641696;-6776.62;-0.900437922
;;;;3208.09;0.709138696;-6800.96;-0.921309922
;;;;3218.62;0.722574696;-6819.37;-0.942311922
;;;;3237.69;0.735704696;-6837.13;-0.963889922
;;;;3242.95;0.748938696;-6853.57;-0.985797922
;;;;3250.84;0.762257696;-6883.17;-1.008255922
;;;;3261.37;0.775406696;-6901.58;-1.030403922
;;;;3274.52;0.788256696;-6908.82;-1.053630922
;;;;3277.81;0.801250696;-6929.2;-1.077518922
;;;;3279.12;0.813868696;-6934.47;-1.101551922
;;;;3290.3;0.826581696;-6952.22;-1.126451922
;;;;3298.85;0.838729696;-6962.09;-1.151691922
;;;;3300.83;0.850910696;-6977.21;-1.177669922
;;;;3298.85;0.863220696;-6978.53;-1.205087922
;;;;3302.14;0.875365696;-6980.5;-1.233585922
;;;;3306.74;0.887540696;-6996.29;-1.263214922
;;;;3313.32;0.899479696;-6988.39;-1.294907922
;;;;3314.64;0.911244696;-6993;-1.329199922
;;;;3306.74;0.922375696;-6981.82;-1.366777922
;;;;3297.54;0.934165696;-6967.35;-1.409596922
;;;;3281.1;0.944844696;-6931.18;-1.457497922
;;;;3230.45;0.960976696;-6827.27;-1.505831922
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
