F1_a(N);Delta_u13_a(mm);F2_a(N);Delta_u24_a(mm);F1_b(N);Delta_u13_b(mm);F2_b(N);Delta_u24_b(mm)
0.646228;0;-201.258;0;15.1149;0;-11.1918;0
34.1873;-0.000219927;-201.258;-0.00059559;42.737;8.892E-05;-13.8225;-0.00048896
62.467;0.00077122;-198.627;-0.000289366;78.9087;0.000576933;-11.8495;-0.00063812
92.0621;0.001310613;-199.942;-0.000564616;110.477;0.00103581;-10.5341;-0.00095178
125.603;0.00138432;-200.6;-0.000850656;145.333;0.001641202;-13.1648;-0.0010149
160.46;0.00183282;-200.6;-0.001003866;183.478;0.00192936;-13.1648;-0.00117174
196.631;0.002480236;-201.258;-0.001401942;226.884;0.00250233;-12.5071;-0.001665206
240.695;0.00330185;-201.915;-0.001558153;271.605;0.00327225;-11.8495;-0.001935656
287.389;0.003929045;-199.942;-0.001951927;322.246;0.00382444;-12.5071;-0.002251609
338.03;0.00434664;-197.969;-0.002479926;374.859;0.004605254;-12.5071;-0.002644509
396.562;0.00562388;-201.258;-0.002500466;436.022;0.00537217;-12.5071;-0.00317651
454.437;0.006150125;-201.915;-0.003175313;496.528;0.00625558;-13.8225;-0.00348064
518.889;0.00763334;-199.942;-0.003445606;566.898;0.007231392;-12.5071;-0.003985741
589.259;0.008354276;-199.285;-0.003917005;638.584;0.008218797;-11.8495;-0.004176779
666.864;0.009365136;-198.627;-0.004628307;723.423;0.00940765;-8.56112;-0.00476755
745.784;0.010366885;-197.312;-0.004769286;809.578;0.01060309;-14.4801;-0.00561072
833.911;0.01169718;-197.969;-0.005829566;898.363;0.01164654;-9.21879;-0.00609488
922.697;0.01314992;-199.942;-0.006037616;992.41;0.01240874;-12.5071;-0.00672134
1014.77;0.01464079;-197.969;-0.007172508;1090.4;0.014186421;-11.1918;-0.00719637
1114.08;0.01619808;-201.915;-0.006930053;1193.66;0.01569566;-11.1918;-0.00807115
1216.02;0.01736314;-200.6;-0.008448236;1293.62;0.01728894;-10.5341;-0.008590328
1318.61;0.01932789;-201.258;-0.008951536;1397.53;0.01860903;-11.8495;-0.009484234
1422.52;0.02038764;-201.915;-0.009858466;1503.42;0.02022935;-8.56112;-0.01021891
1524.46;0.02189357;-201.258;-0.010478934;1606.67;0.02162503;-11.8495;-0.01064297
1627.72;0.02346517;-200.6;-0.011284196;1713.21;0.02286138;-11.8495;-0.01181757
1734.92;0.02498967;-201.258;-0.012149926;1823.04;0.02450203;-13.1648;-0.012241989
