FX (Kraft 2),FY (Kraft 1),UXKNGesamt,UYKNGesamt,FX (Kraft 2),FY (Kraft 1),UXKNGesamt,UYKNGesamt
0,0,0,0,0,0,0,0
-3.2883,0.65766,-0.00011,2.81E-05,1.973,-1.31533,0,6.3E-05
-6.5767,0.65766,-0.00012,9.77E-05,0,1.31529,0,0.000132
-9.2074,1.31533,-0.00021,0.000105,0,-0.65767,-2E-05,0.000118
-11.838,1.31533,-0.00022,0.0001377,-4.6036,0.65767,-1E-04,0.000246
-13.1534,2.63062,-0.00018,0.0001778,-3.2883,1.31529,-0.00012,0.000148
-17.757,2.63062,-0.00018,0.0002494,-5.2613,3.28829,-6E-05,0.000168
-17.0994,1.31533,-0.00033,0.000334,-5.919,0,-0.00028,0.000281
-22.3607,5.26132,-0.00022,0.000355,-8.5497,1.97299,-0.00021,0.000316
-23.0184,3.94602,-0.0003,0.0004242,-16.4417,3.28829,-0.00029,0.000407
-28.2797,7.23432,-0.00049,0.0005058,-13.811,5.91899,-0.00026,0.00036
-35.5141,7.23432,-0.00055,0.0006515,-24.3337,3.94599,-0.00037,0.000464
-42.7484,8.54972,-0.00062,0.0007389,-28.2797,5.26139,-0.00046,0.000646
-50.6404,11.18032,-0.00062,0.000862,-35.514,10.52269,-0.00081,0.00058
-51.2981,13.15332,-0.00066,0.0009063,-33.541,11.18039,-0.00066,0.00089
-60.5054,14.46872,-0.00063,0.0010141,-44.7214,8.54969,-0.00074,0.000966
-63.1361,15.78402,-0.00085,0.0010641,-49.3251,13.81099,-0.00079,0.001063
-70.3705,15.78402,-0.00084,0.0011955,-53.9287,12.49569,-0.00089,0.001166
-82.8662,19.73002,-0.00099,0.0014234,-66.4248,16.44169,-0.00103,0.001373
-103.9112,25.64902,-0.00122,0.0017047,-75.6318,19.07239,-0.0012,0.001574
-128.9032,30.25272,-0.00165,0.0020588,-92.7308,23.67609,-0.00128,0.001867
-174.2822,42.74842,-0.00232,0.0027589,-134.1638,32.88339,-0.00174,0.0025599
-242.0222,59.19012,-0.00315,0.003881,-190.0658,47.35209,-0.00241,0.0036705
-324.2302,79.57782,-0.00422,0.00543461,-252.5448,63.13609,-0.00306,0.0049788
-420.2502,107.85742,-0.00557,0.00717876,-334.7528,84.83919,-0.004,0.0066602
-524.8192,130.21842,-0.00707,0.00917732,-432.0878,106.54209,-0.00495,0.0087332
-634.6492,161.12842,-0.00877,0.01142925,-534.6838,132.19109,-0.00598,0.011088
-760.2642,190.72342,-0.01077,0.013718723,-646.4878,163.10209,-0.00718,0.0137098
-893.1132,222.29142,-0.01296,0.01615422,-762.2368,191.38109,-0.00833,0.0164692
-1033.1922,257.14842,-0.01552,0.01882869,-890.4818,222.94909,-0.00981,0.0194696
-1173.9322,293.97742,-0.01847,0.02199069,-1022.0168,256.49009,-0.01116,0.0226711
-1313.3622,327.51842,-0.02205,0.02553272,-1164.7268,290.68909,-0.01311,0.0260599
-1446.8722,363.03242,-0.02666,0.02986397,-1308.0968,326.86109,-0.01535,0.0300155
-1576.4322,391.31242,-0.03213,0.0353605,-1445.5568,361.06009,-0.01815,0.0348204
-1686.9222,420.90742,-0.0387,0.0423046,-1569.1968,393.94309,-0.02222,0.040925
-1769.1222,443.92542,-0.04625,0.0507677,-1679.6868,420.90709,-0.02747,0.0484794
-1853.9622,464.97142,-0.05413,0.0603297,-1771.0968,445.24109,-0.03375,0.057543
-1924.3322,481.41242,-0.06244,0.0707402,-1852.6468,462.99809,-0.04105,0.0678561
-1984.8422,497.85442,-0.07064,0.0813786,-1926.9668,482.07009,-0.04893,0.0783353
-2046.0022,514.95442,-0.07888,0.0923024,-1988.7868,495.88209,-0.05707,0.0893478
-2099.9322,527.44942,-0.08725,0.1036934,-2044.0268,512.98109,-0.06526,0.1005515
-2148.6022,537.31442,-0.09587,0.1155098,-2097.9568,523.50409,-0.07387,0.1120707
