FX (Kraft 2),FY (Kraft 1),UXKNGesamt,UYKNGesamt
0,0,0,0
1.3153,-0.65766,0,5E-06
-0.6577,1.97296,-7E-05,5.6E-05
-3.946,4.60366,-8E-05,5.6E-05
-12.4957,4.60366,-0.00013,0.000157
-17.0994,5.91906,-0.00013,0.000202
-24.9914,7.23436,-0.00016,0.000257
-23.0184,9.86506,-0.00015,0.000261
-24.3337,7.89206,-0.00021,0.000379
-28.2797,6.57666,-0.00024,0.000437
-32.8834,7.89206,-0.00033,0.000584
-43.4061,7.89206,-0.00045,0.000633
-43.4061,10.52266,-0.00033,0.000635
-46.6944,11.18036,-0.00047,0.000716
-49.9828,11.18036,-0.00053,0.000695
-60.5055,12.49566,-0.00055,0.000895
-59.8478,17.09936,-0.00053,0.000862
-67.7398,15.78406,-0.00059,0.000998
-79.5782,19.07236,-0.00073,0.001088
-103.9112,21.04536,-0.00106,0.001376
-162.4442,34.19876,-0.00169,0.002206
-211.1112,44.06376,-0.0023,0.002919
-282.1392,56.55946,-0.00325,0.003818
-368.2942,78.26246,-0.00428,0.00509
-487.3322,97.99276,-0.00586,0.006784
-612.9462,127.58776,-0.0075,0.008827
-751.7142,151.26376,-0.00933,0.011051
-904.2932,180.85876,-0.01127,0.013553
-1057.5272,213.74176,-0.01356,0.016291
-1223.9172,244.65276,-0.01591,0.019365
-1393.5972,279.50876,-0.01884,0.022945
-1559.9872,311.07676,-0.02254,0.027054
-1708.6172,342.64476,-0.02721,0.032072
-1838.8372,365.00576,-0.03345,0.038639
-1946.6972,390.65476,-0.04086,0.046637
-2030.2172,409.06976,-0.04886,0.055686
-2111.7672,426.16876,-0.05758,0.065643
-2193.3272,440.63776,-0.06692,0.076368
-2251.1972,453.79076,-0.07627,0.087496
-2329.4572,466.94376,-0.08594,0.09926
-2384.7072,477.46676,-0.09578,0.111352
-2432.7172,489.96276,-0.10546,0.123562
-2487.2972,498.51276,-0.11506,0.135728
-2530.7072,510.35076,-0.12462,0.148004
-2578.7172,516.26976,-0.13441,0.160473
-2624.7572,525.47676,-0.14431,0.173431
-2663.5572,532.71076,-0.1542,0.186248
-2697.7572,541.26076,-0.16391,0.19896
-2734.5872,549.81076,-0.17396,0.212285
-2763.5172,555.72976,-0.18369,0.225446
-2801.6672,562.30576,-0.1938,0.238814
-2829.9472,566.90976,-0.20382,0.252445
-2868.7472,574.14376,-0.21392,0.26598
-2893.7372,582.69376,-0.22386,0.279391
-2925.9672,586.63976,-0.23404,0.29323
-2945.0372,589.27076,-0.24414,0.307114
-2968.7172,594.53176,-0.25455,0.321225
-3005.5372,602.42376,-0.26489,0.335271
-3021.9872,607.02776,-0.27489,0.349026
-3046.3172,610.31576,-0.28497,0.363029
-3060.1272,616.23476,-0.29539,0.377313
-3079.1972,616.89276,-0.3057,0.391614
-3104.1972,620.18076,-0.31619,0.405833
-3130.4972,624.78476,-0.32662,0.420283
-3141.0172,630.04576,-0.33697,0.434626
-3159.4372,632.01876,-0.34735,0.449014
-3169.2972,639.25276,-0.35778,0.463347
-3181.7972,639.25276,-0.3681,0.477499
-3194.9472,643.85676,-0.37853,0.4918
-3223.8872,645.82976,-0.38896,0.506154
-3233.0972,647.80276,-0.39936,0.520545
-3249.5372,650.43376,-0.41013,0.535204
-3248.8772,652.40676,-0.42057,0.549727
-3262.6872,657.01076,-0.4313,0.564069
-3280.4472,659.64076,-0.44182,0.578654
-3291.6272,661.61376,-0.4526,0.593403
-3289.6572,662.92976,-0.46332,0.608098
-3301.4972,663.58676,-0.47418,0.622846
-3310.0472,663.58676,-0.48506,0.637549
-3320.5672,667.53276,-0.49607,0.652384
-3338.3272,667.53276,-0.50731,0.667447
-3339.6372,668.19076,-0.51839,0.682374
-3346.8672,669.50576,-0.52948,0.697353
-3346.2172,671.47876,-0.54093,0.712626
-3350.8172,672.79476,-0.55218,0.727579
-3344.2372,675.42476,-0.56349,0.742643
-3357.3972,675.42476,-0.57515,0.75785
-3370.5472,675.42476,-0.58651,0.772828
-3371.2072,679.37076,-0.59803,0.78784
-3376.4672,680.02876,-0.60963,0.802887
-3373.1772,674.76776,-0.62131,0.81792
-3332.4072,668.84876,-0.6348,0.834381
-3376.4672,676.74076,-0.64571,0.847814
-3371.8672,675.42476,-0.65722,0.862629
-3335.6872,667.53276,-0.67177,0.879827
-3333.0572,667.53276,-0.68433,0.895005
-3383.6972,678.05576,-0.69477,0.908453
-3365.2872,672.79476,-0.70814,0.924468
-3332.4072,669.50576,-0.72208,0.940454
-3334.3772,668.19076,-0.73486,0.955423
-3312.0172,664.24476,-0.74887,0.971144
-3310.6972,662.92976,-0.76282,0.98672
-2993.0472,600.45076,-0.79024,1.014103
-2956.2172,591.24376,-0.80732,1.031133
