FX (Kraft 2),FY (Kraft 1),UXKNGesamt,UYKNGesamt,FX (Kraft 2),FY (Kraft 1),UXKNGesamt,UYKNGesamt
0,0,0,0,0,0,0,0
0,3.28835,0,6.00E-07,0,0.65767,6.00E-05,-5.00E-06
0,3.28835,-4.00E-05,1.39E-05,0,1.97301,8.00E-05,4.87E-05
0,2.63068,5.00E-05,0.0001214,0,5.26134,9.00E-05,0.0002073
0,3.94601,2.00E-05,0.0001544,0,5.26134,0.00011,0.0002992
0,2.63068,-3.00E-05,0.0002492,0,4.60368,0.00016,0.0003315
0,7.23435,0,0.0003455,0,6.57668,1.00E-04,0.0004202
0,7.23435,8.00E-05,0.0004583,0,6.57668,7.00E-05,0.0005091
0,9.20736,2.00E-05,0.0005429,0,9.86502,0.00016,0.0007274
0,7.89202,8.00E-05,0.0006601,0,9.86502,0.00024,0.0008251
0,9.86502,-1.00E-05,0.0007359,0,11.83802,0.00038,0.0009278
0,13.81103,9.00E-05,0.0008549,0,13.15336,0.00043,0.0011416
0,16.4417,6.00E-05,0.0012429,0,17.75704,0.00051,0.0014858
0,19.07238,-2.00E-05,0.0013653,0,20.38766,0.00059,0.0016605
0,20.38771,-3.00E-05,0.0014876,0,23.67606,0.00054,0.0019788
0,21.703,-7.00E-05,0.001493,0,23.67606,0.00062,0.0021853
0,23.0184,-0.00021,0.0016674,0,24.99136,0.00063,0.0023963
0,26.9644,0,0.0017544,0,29.59506,0.00055,0.0026456
0,28.2797,-0.00013,0.0018436,0,33.54106,0.00054,0.0028275
0,33.5411,-0.00014,0.0020192,0,38.80236,0.00048,0.0031708
0,32.8834,-7.00E-05,0.0022254,0,49.32506,0.00054,0.0038012
0,36.8294,-0.00011,0.00239047,0,63.13616,0.0005,0.0048057
0,42.7484,-0.00016,0.00283417,0,76.94716,0.00051,0.0059215
0,51.2981,-6.00E-05,0.00349543,0,96.67716,0.0006,0.0076492
0,74.3165,-0.0003,0.00507715,0,122.98346,0.00074,0.00965621
0,105.8845,-1.00E-04,0.007665,0,151.26346,0.00085,0.01194678
0,136.7948,-0.00011,0.01027804,0,182.17446,0.001,0.0143933
0,169.6788,-0.00015,0.01281747,0,215.05746,0.00119,0.01701586
0,202.5618,-0.00014,0.015504,0,247.28346,0.00129,0.01960794
0,237.4178,-0.00029,0.0182387,0,283.45446,0.00171,0.022450921
0,270.3018,-0.00024,0.02109456,0,316.33846,0.00167,0.025271654
0,309.1038,-0.00023,0.02402819,0,349.87946,0.00181,0.02817582
0,344.6178,-0.00031,0.0270534,0,386.05146,0.0019,0.03108624
0,384.7358,-0.00022,0.0300843,0,424.19546,0.00196,0.03423082
0,423.5378,-0.00034,0.0332505,0,461.68246,0.00212,0.03746216
0,466.2868,-0.00052,0.0365766,0,503.11546,0.00219,0.04081608
0,506.4038,-0.00066,0.0398969,0,543.89146,0.00234,0.0442653
0,551.7838,-0.00091,0.0435188,0,584.00946,0.00237,0.0479346
0,592.5588,-0.00095,0.0471435,0,626.75746,0.00245,0.0515027
0,637.2798,-0.00122,0.0508377,0,668.19046,0.00248,0.0553156
0,680.0288,-0.00141,0.0548766,0,714.88546,0.00242,0.0593557
0,720.1468,-0.00164,0.0592464,0,753.02946,0.00244,0.063592
0,770.1288,-0.002,0.0639247,0,801.69746,0.00233,0.0681096
0,810.2468,-0.00241,0.0689887,0,844.44546,0.00234,0.0731108
0,854.3108,-0.00291,0.0747471,0,886.53646,0.00207,0.078541
0,890.4828,-0.00354,0.0811045,0,926.65446,0.00183,0.0845443
0,928.6268,-0.00423,0.0882507,0,967.42946,0.00158,0.0911628
0,962.8258,-0.00507,0.0962457,0,1003.60146,0.00104,0.0985258
0,991.7628,-0.0059,0.1049752,0,1037.14646,0.00089,0.10677129
0,1019.3818,-0.00664,0.1145952,0,1067.39646,0.0002,0.11564171
0,1045.0318,-0.00753,0.1247522,0,1096.33646,-0.00026,0.12519481
0,1068.7118,-0.00851,0.1353003,0,1119.34646,-0.00079,0.13542008
0,1089.1018,-0.00959,0.1463971,0,1138.42646,-0.0013,0.1463469
0,1109.4818,-0.01029,0.1577245,0,1160.78646,-0.00188,0.1575528
0,1125.9318,-0.01131,0.169297,0,1179.85646,-0.00241,0.1694201
0,1145.0018,-0.01229,0.1812113,0,1198.26646,-0.00293,0.1813964
0,1161.4418,-0.01338,0.193453,0,1212.73646,-0.00355,0.1936942
0,1179.8518,-0.0143,0.20577,0,1229.83646,-0.00409,0.2060962
0,1193.0118,-0.01519,0.217977,0,1244.96646,-0.00463,0.2185513
0,1212.7418,-0.01603,0.230485,0,1258.77646,-0.00523,0.231269
0,1224.5818,-0.0173,0.243141,0,1272.58646,-0.00596,0.2443049
0,1239.0418,-0.01844,0.255991,0,1285.08646,-0.00655,0.2572678
0,1252.8618,-0.01948,0.268863,0,1299.55646,-0.00721,0.2703679
0,1264.6918,-0.02066,0.282003,0,1311.38646,-0.00786,0.2836918
0,1281.7918,-0.02176,0.295256,0,1322.56646,-0.00855,0.2970347
0,1292.3218,-0.02281,0.308355,0,1334.40646,-0.00926,0.3104693
0,1304.8118,-0.024,0.321481,0,1343.61646,-0.01005,0.3239707
0,1314.0218,-0.02512,0.334776,0,1355.45646,-0.01082,0.3372287
0,1327.8318,-0.02633,0.348129,0,1369.92646,-0.01157,0.3508367
0,1339.0118,-0.02767,0.361403,0,1381.10646,-0.01235,0.3644737
0,1350.1918,-0.02894,0.37478,0,1388.99646,-0.01316,0.3781947
0,1362.0318,-0.03019,0.388464,0,1399.51646,-0.01406,0.3920457
0,1369.2618,-0.03163,0.402235,0,1408.06646,-0.01499,0.4058827
0,1379.1318,-0.03302,0.416005,0,1417.27646,-0.01599,0.4198167
0,1388.3418,-0.03435,0.429728,0,1424.50646,-0.01695,0.4337817
0,1401.4918,-0.03581,0.443587,0,1434.37646,-0.01797,0.4475007
0,1406.7518,-0.03735,0.457277,0,1444.23646,-0.01894,0.4615427
0,1419.2518,-0.0389,0.471165,0,1452.12646,-0.02009,0.4757067
0,1427.8018,-0.04031,0.485206,0,1460.02646,-0.02123,0.4899487
0,1436.3518,-0.04201,0.499286,0,1470.54646,-0.0223,0.5042387
0,1445.5518,-0.04353,0.513353,0,1477.12646,-0.02343,0.5185657
0,1454.1018,-0.04527,0.52757,0,1485.67646,-0.02463,0.5327857
0,1461.9918,-0.04693,0.54167,0,1491.58646,-0.02596,0.5471947
0,1473.8318,-0.04866,0.556133,0,1501.45646,-0.02723,0.5618367
0,1479.0918,-0.05047,0.57057,0,1506.71646,-0.0286,0.5765787
0,1488.3018,-0.0524,0.585144,0,1515.26646,-0.02997,0.5914037
0,1495.5418,-0.05436,0.599788,0,1521.18646,-0.03142,0.6059127
0,1500.8018,-0.05624,0.614235,0,1530.39646,-0.03288,0.6206577
0,1510.6618,-0.05814,0.628807,0,1536.31646,-0.03433,0.6352687
0,1520.5318,-0.06019,0.643127,0,1544.20646,-0.03585,0.6499277
0,1526.4518,-0.06209,0.657432,0,1552.75646,-0.03743,0.6645987
0,1532.3618,-0.06414,0.671824,0,1558.01646,-0.03906,0.6790797
0,1539.6018,-0.0661,0.686153,0,1564.59646,-0.04062,0.6937247
0,1544.2018,-0.06827,0.700721,0,1569.85646,-0.0423,0.7084147
0,1553.4118,-0.0704,0.715507,0,1576.42646,-0.044,0.7232257
0,1561.9618,-0.07264,0.730026,0,1581.69646,-0.04578,0.7379137
0,1567.8818,-0.07477,0.744472,0,1589.58646,-0.04752,0.7524877
0,1573.8018,-0.07705,0.758777,0,1593.52646,-0.04935,0.7670737
0,1579.0618,-0.07926,0.773223,0,1600.10646,-0.05117,0.7818137
0,1584.9818,-0.08162,0.787776,0,1606.68646,-0.05311,0.7965767
0,1593.5318,-0.08395,0.802467,0,1609.96646,-0.05503,0.8116137
0,1596.8218,-0.08639,0.817297,0,1621.15646,-0.05706,0.8265377
0,1603.3918,-0.08883,0.832113,0,1624.43646,-0.05907,0.8414477
0,1609.3118,-0.09142,0.84688,0,1627.72646,-0.06113,0.8565167
0,1615.8918,-0.09393,0.861682,0,1633.64646,-0.0632,0.8715807
0,1623.1218,-0.09648,0.876522,0,1637.59646,-0.06532,0.8866817
0,1628.3818,-0.0991,0.891378,0,1642.85646,-0.06763,0.9018017
0,1631.6718,-0.10177,0.906273,0,1648.77646,-0.06985,0.9168737
0,1638.2518,-0.10443,0.921152,0,1653.37646,-0.07186,0.9322797
0,1640.8818,-0.10719,0.935985,0,1657.32646,-0.07446,0.9472457
0,1648.1118,-0.10995,0.951188,0,1662.58646,-0.07699,0.9622977
0,1653.3818,-0.11275,0.966193,0,1665.87646,-0.07916,0.9773517
0,1654.0318,-0.11558,0.981023,0,1668.50646,-0.08161,0.9924487
0,1661.9318,-0.1184,0.995949,0,1676.39646,-0.0841,1.0075477
0,1664.5618,-0.12134,1.010802,0,1680.34646,-0.08666,1.0225447
0,1670.4718,-0.12427,1.025538,0,1685.60646,-0.08912,1.0375227
0,1673.7618,-0.12726,1.040449,0,1690.20646,-0.09174,1.0526407
0,1681.0018,-0.13029,1.055298,0,1692.83646,-0.0944,1.0678447
0,1685.6018,-0.13338,1.07035,0,1696.78646,-0.09701,1.0827337
0,1688.8918,-0.13647,1.085233,0,1700.72646,-0.09978,1.0976047
0,1693.4918,-0.13964,1.100086,0,1705.98646,-0.10264,1.1128707
0,1697.4418,-0.14286,1.115297,0,1708.62646,-0.10546,1.1280437
0,1702.0418,-0.14612,1.130129,0,1712.56646,-0.10835,1.1432777
0,1705.3318,-0.14927,1.145167,0,1715.19646,-0.11126,1.1585217
0,1709.9418,-0.15277,1.160268,0,1720.45646,-0.11431,1.1737337
0,1715.2018,-0.15617,1.175308,0,1723.74646,-0.11734,1.1889707
0,1717.1718,-0.1596,1.190392,0,1727.03646,-0.12037,1.2039617
0,1725.7218,-0.163,1.205385,0,1730.98646,-0.12346,1.2191237
0,1725.0618,-0.16651,1.220486,0,1734.92646,-0.12668,1.2345057
0,1729.6718,-0.17011,1.235665,0,1738.87646,-0.12995,1.2499617
0,1734.2718,-0.17382,1.250815,0,1741.50646,-0.13321,1.2652537
0,1738.2118,-0.17746,1.266047,0,1746.10646,-0.13661,1.2806687
0,1740.1918,-0.18133,1.281513,0,1746.76646,-0.14,1.2961507
0,1744.1318,-0.1851,1.296849,0,1751.36646,-0.14338,1.3114627
0,1748.0818,-0.18898,1.312101,0,1756.62646,-0.14699,1.3268447
0,1751.3718,-0.1928,1.327211,0,1758.60646,-0.15055,1.3424687
